name,group,id,22:6 n-3 (DHA) (g),22:0 (g),14:1 (g),16:1 undifferentiated (g),18:4 (g),20:1 (g),20:5 n-3 (EPA) (g),22:1 undifferentiated (g),22:5 n-3 (DPA) (g),Phytosterols (mg),Stigmasterol (mg),Campesterol (mg),Beta-sitosterol (mg),"Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)",15:0 (g),17:0 (g),24:0 (g),16:1 t (g),18:1 t (g),22:1 t (g),18:2 t not further defined (g),18:2 i (g),"18:2 t,t (g)",18:2 CLAs (g),24:1 c (g),"20:2 n-6 c,c (g)",16:1 c (g),18:1 c (g),"18:2 n-6 c,c (g)",22:1 c (g),"18:3 n-6 c,c,c (g)",17:1 (g),20:3 undifferentiated (g),"Fatty acids, total trans-monoenoic (g)","Fatty acids, total trans-polyenoic (g)",13:0 (g),15:1 (g),"18:3 n-3 c,c,c (ALA) (g)",20:3 n-3 (g),20:3 n-6 (g),20:4 n-6 (g),18:3i (g),21:5 (g),22:4 (g),18:1-11t (18:1t n-7) (g)
"Pork, fresh, shoulder, arm picnic, separable lean only, cooked, braised",1000,10078,,,,0.34,,0.13,,,,,,,,5.78,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pork, fresh, shoulder, arm picnic, separable lean only, cooked, roasted",1000,10079,,,,0.35,,0.13,,,,,,,,5.98,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pork, fresh, shoulder, (Boston butt), blade (steaks), separable lean and fat, raw",1000,10080,,,0.002,0.261,,0.082,,,,,,,,5.206,1.597,0.005,0.038,,,0.074,,,,0.04,,,0.053,,4.786,1.361,,0.002,,0.006,0.074,0.04,,,0.061,,,,,,,
"Pork, fresh, shoulder, (Boston butt), blade (steaks), separable lean and fat, cooked, braised",1000,10081,,,,0.408,,0.127,,,,,,,,7.987,2.072,0.005,0.055,,,0.098,,,,0.056,,,0.072,,7.345,1.754,,0.002,0.008,0.011,0.098,0.056,,,0.077,,,,,,,
"Pork, fresh, shoulder, blade, boston (steaks), separable lean and fat, cooked, broiled",1000,10082,,,,0.48,,0.18,,,,,,,,7.42,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pork, fresh, shoulder, blade, boston (roasts), separable lean and fat, cooked, roasted",1000,10083,,,,0.52,,0.17,,,,,,,,8.27,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pork, fresh, shoulder, (Boston butt), blade (steaks), separable lean only, raw",1000,10084,,,,0.139,,0.037,,,,,,,,2.484,0.62,,0.014,,,0.023,,,,0.015,,,0.019,,2.284,0.502,,,,,0.023,0.015,,,0.019,,,,,,,
"Pork, fresh, shoulder, (Boston butt), blade (steaks), separable lean only, cooked, braised",1000,10085,,,,0.333,,0.097,,,,,,,,6.199,1.402,0.002,0.037,,,0.062,,,,0.04,,,0.049,,5.708,1.164,,,,0.007,0.062,0.04,,,0.048,,,,,,,
"Pork, fresh, shoulder, blade, boston (steaks), separable lean only, cooked, broiled",1000,10086,,,,0.37,,0.15,,,,,,,,5.64,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pork, fresh, shoulder, blade, boston (roasts), separable lean only, cooked, roasted",1000,10087,,,,0.41,,0.15,,,,,,,,6.34,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pork, fresh, spareribs, separable lean and fat, raw",1000,10088,,,,0.53,,0.123,,,,,,,,8.542,3.953,,0.037,,,0.138,,,,0.084,,,0.079,,7.751,3.146,,,,,0.138,0.084,,,0.081,,,,,,,
"Pork, fresh, spareribs, separable lean and fat, cooked, braised",1000,10089,,,,0.72,,0.24,,,,,,,,13.48,2.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pork, fresh, composite of trimmed retail cuts (leg, loin, and shoulder), separable lean only, cooked",1000,10093,,,,0.249,,0.072,,,,,,,,3.908,0.863,,0.01,,,0.021,,,,0.011,,,0.013,,1.439,0.356,,,,,0.021,0.011,,,0.015,,,,,,,
